ID товара,Наименование,Цена,Город,Промо цена,Ссылка
3284509,Батончик Take a Slim Bite фруктово-ягодный апельсин 30г,"67,50 ₽",Москва и Московская область,45 ₽,https://www.detmir.ru/product/index/id/3284509/
3277087,Снеки Зеленика сушеный персик 20г,205 ₽,Москва и Московская область,"153,90 ₽",https://www.detmir.ru/product/index/id/3277087/
3286064,Батончик Pikki фруктово-ореховый клюква-миндаль 35г,"89,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286064/
3286049,Сухофрукт Семушка слива черная сушеная 130г,"172,30 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286049/
3286052,Лаваш Семушка фруктовый из сливы 80г,"102,90 ₽",Москва и Московская область,"89,90 ₽",https://www.detmir.ru/product/index/id/3286052/
3486243,Снеки Зеленика сушеный батат 30г,"101,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3486243/
3277085,Снеки Зеленика сушеная дыня 20г,"197,50 ₽",Москва и Московская область,"147,90 ₽",https://www.detmir.ru/product/index/id/3277085/
3310369,Крекер Лакомства для здоровья Мульти про 220г,"168,70 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3310369/
3286051,Лаваш Семушка фруктовый клюквенный 80г,"102,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286051/
3498113,Пастила Friends яблоко-малина 5*27г,215 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3498113/
3405835,Снеки Зеленика Микс сет 280г,1 299 ₽,Москва и Московская область,1 129 ₽,https://www.detmir.ru/product/index/id/3405835/
3286037,Орехи Семушка миндаль сушеный 40г,"109,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286037/
3422197,Батончик Bionova №8 шоколад-орех 35г,"77,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422197/
